ID,SEX,PAY_1,AGE,LIMIT_BAL,CV_LPAY_TOT,CV_LBILL_TOT,CANT_PAY_MAY0,BILL_AMT1,LOG_BILL_AMT1,AVG_LPAY_TOT,STD_PAY_TOT,AVG_EXP_1
100001,0,-2,29,360000,0.0,0.0,0,0,0.0,0.0,0.0,0.0
100002,-1,0,43,240000,0.42763742049380765,0.0037971652503253524,1,67120,11.11425,6.654791666666667,0.8164965809277261,0.00428
100003,0,0,42,270000,0.11931183172882666,0.008860954459365682,0,225245,12.32495,9.97159,0.0,0.19663333333333333
100004,0,1,47,120000,0.8970458050011395,0.0013587903239184209,6,121400,11.70685,4.518655,0.408248290463863,0.03829333333333333
100005,0,-2,69,360000,0.0,0.0,0,0,0.0,0.0,0.0,0.0
100006,0,0,37,220000,0.14570149311723649,0.027789523278061612,0,81191,11.30457,8.712846666666666,0.0,0.03561818181818182
100007,-1,3,26,20000,0.0,0.0036263367706911216,6,1068,6.97448,0.0,0.5163977794943222,0.00073
100008,0,0,45,130000,1.1365764952783792,0.9336284633625701,0,126840,11.75069,2.740205,1.0327955589886446,0.20729846153846154
100009,0,-1,46,170000,0.16745200821544362,0.14142253806648616,0,1986,7.59438,6.593133333333334,0.0,0.010728235294117646
100010,0,-2,44,230000,0.2697297761780958,0.02679032766573348,0,14029,9.54895,8.158133333333332,0.8366600265340756,0.03936
100011,0,0,26,30000,0.033968556978871106,0.0024863285965814365,0,28063,10.24224,7.315226666666667,0.0,0.054906666666666666
100012,0,0,32,90000,0.7420524103246884,0.003935398073033416,4,79105,11.27854,4.974223333333334,1.0327955589886446,0.021333333333333333
100013,-1,0,28,20000,0.14606556540985507,0.01580537019532555,0,17359,9.76192,7.433395,0.0,0.14376
100014,0,0,27,80000,0.42622742780864226,0.005056506220292557,2,42414,10.65526,6.418448333333333,1.0327955589886446,0.013217500000000002
100015,-1,-1,29,50000,0.0414479937214256,0.04311539957096678,0,10498,9.25904,7.18899,0.4082482904638631,0.051
100016,0,3,29,220000,0.847223850038761,0.014518869736654609,5,4695,8.45447,3.326976666666667,1.0954451150103324,0.0008681818181818182
100017,-1,-1,29,360000,0.0,1.5771337867816875,0,51400,10.84741,0.0,0.5163977794943222,0.028555555555555556
100018,0,0,33,20000,0.01979711364650828,0.001951582980490892,0,20023,9.90469,7.052161666666667,0.0,0.05969
100019,-1,1,29,50000,0.0,0.0,1,0,0.0,0.0,1.224744871391589,0.0
100020,0,0,42,60000,0.03961507925783953,0.013140893399608382,0,41322,10.62917,7.362093333333333,0.0,0.06714333333333333
100021,-1,-1,31,440000,0.1111700047509855,0.09407923980970553,0,21359,9.96928,7.470703333333334,0.5163977794943223,0.015224545454545454
100022,-1,0,44,20000,0.8575688408257959,0.45767346732291125,0,18015,9.79902,3.5917733333333337,0.0,0.22045
100023,-1,0,28,320000,0.5398094095291041,0.055055966878261565,0,11639,9.3622,5.964081666666666,0.4082482904638631,0.010201875
100024,0,-2,36,270000,0.08369488758167433,0.08297708685806263,0,72364,11.18948,10.710885,0.0,0.2446148148148148
100025,0,1,34,50000,0.04954307948596191,0.030082918960850358,3,1647,7.40732,6.821083333333333,0.5477225575051662,0.015204
100026,-1,-1,25,50000,1.1941322433017398,0.48929540331683646,1,1789,7.48997,3.0742016666666667,1.0954451150103324,0.21048799999999998
100027,-1,-1,45,20000,0.6417387310503389,0.034350637289068495,2,3213,8.07527,4.764965000000001,1.224744871391589,0.00845
100028,-1,0,36,240000,0.16927444977626102,0.06520152393045092,0,131477,11.78659,8.81465,0.0,0.1151475
